
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     100     101     1.234568E-08 -2.992941E+01 -9.840708E+00
     100     101     1.234568E-08 -2.992941E+01 -9.616519E+00
     100     101     1.234568E-08 -2.992941E+01 -9.392330E+00
     100     101     1.234568E-08 -2.992941E+01 -9.168142E+00
     100     101     1.234568E-08 -2.992941E+01 -8.943953E+00
     100     101     1.234568E-08 -2.992941E+01 -8.719764E+00
     100     101     1.234568E-08 -2.992941E+01 -8.495575E+00
     100     101     1.234568E-08 -2.992941E+01 -8.271386E+00
     100     101     1.234568E-08 -2.992941E+01 -8.047198E+00
     100     101     1.234568E-08 -2.992941E+01 -7.823009E+00
     100     101     1.234568E-08 -2.992941E+01 -7.598820E+00
     100     101     1.234568E-08 -2.992941E+01 -7.374631E+00
     100     101     1.234568E-08 -2.992941E+01 -7.150442E+00
     100     101     1.234568E-08 -2.992941E+01 -6.926254E+00
     100     101     1.234568E-08 -2.992941E+01 -6.702065E+00
     100     101     1.234568E-08 -2.992941E+01 -6.477876E+00
     100     101     1.234568E-08 -2.992941E+01 -6.253687E+00
     100     101     1.234568E-08 -2.992941E+01 -6.029499E+00
     100     101     1.234568E-08 -2.992941E+01 -5.805310E+00
     100     101     1.234568E-08 -2.992941E+01 -5.581121E+00
     100     101     1.234568E-08 -2.992941E+01 -5.356932E+00
     100     101     1.234568E-08 -2.992941E+01 -5.132743E+00
     100     101     1.234568E-08 -2.992941E+01 -4.908555E+00
     100     101     1.234568E-08 -2.992941E+01 -4.684366E+00
     100     101     1.234568E-08 -2.992941E+01 -4.460177E+00
     100     101     1.234568E-08 -2.992941E+01 -4.235988E+00
     100     101     1.234568E-08 -2.992941E+01 -4.011799E+00
     100     101     1.234568E-08 -2.992941E+01 -3.787611E+00
     100     101     1.234568E-08 -2.992941E+01 -3.563422E+00
     100     101     1.234568E-08 -2.992941E+01 -3.339233E+00
     100     101     1.234568E-08 -2.992941E+01 -3.115044E+00
     100     101     1.234568E-08 -2.992941E+01 -2.890855E+00
     100     101     1.234568E-08 -2.992941E+01 -2.666667E+00
     100     101     1.234568E-08 -2.992941E+01 -2.442478E+00
     100     101     1.234568E-08 -2.992941E+01 -2.218289E+00
     100     101     1.234568E-08 -2.992941E+01 -1.994100E+00
     100     101     1.234568E-08 -2.992941E+01 -1.769911E+00
     100     101     1.234568E-08 -2.992941E+01 -1.545723E+00
     100     101     1.234568E-08 -2.992941E+01 -1.321534E+00
     100     101     1.234568E-08 -2.992941E+01 -1.097345E+00
     100     101     1.234568E-08 -2.992941E+01 -8.731563E-01
     100     101     1.234568E-08 -2.992941E+01 -6.489675E-01
     100     101     1.234568E-08 -2.992941E+01 -4.247787E-01
     100     101     1.234568E-08 -2.992941E+01 -2.005900E-01
     100     101     1.234568E-08 -2.868235E+01 -9.840708E+00
     100     101     1.234568E-08 -2.868235E+01 -9.616519E+00
     100     101     1.234568E-08 -2.868235E+01 -9.392330E+00
     100     101     1.234568E-08 -2.868235E+01 -9.168142E+00
     100     101     1.234568E-08 -2.868235E+01 -8.943953E+00
     100     101     1.234568E-08 -2.868235E+01 -8.719764E+00
     100     101     1.234568E-08 -2.868235E+01 -8.495575E+00
     100     101     1.234568E-08 -2.868235E+01 -8.271386E+00
     100     101     1.234568E-08 -2.868235E+01 -8.047198E+00
     100     101     1.234568E-08 -2.868235E+01 -7.823009E+00
     100     101     1.234568E-08 -2.868235E+01 -7.598820E+00
     100     101     1.234568E-08 -2.868235E+01 -7.374631E+00
     100     101     1.234568E-08 -2.868235E+01 -7.150442E+00
     100     101     1.234568E-08 -2.868235E+01 -6.926254E+00
     100     101     1.234568E-08 -2.868235E+01 -6.702065E+00
     100     101     1.234568E-08 -2.868235E+01 -6.477876E+00
     100     101     1.234568E-08 -2.868235E+01 -6.253687E+00
     100     101     1.234568E-08 -2.868235E+01 -6.029499E+00
     100     101     1.234568E-08 -2.868235E+01 -5.805310E+00
     100     101     1.234568E-08 -2.868235E+01 -5.581121E+00
     100     101     1.234568E-08 -2.868235E+01 -5.356932E+00
     100     101     1.234568E-08 -2.868235E+01 -5.132743E+00
     100     101     1.234568E-08 -2.868235E+01 -4.908555E+00
     100     101     1.234568E-08 -2.868235E+01 -4.684366E+00
     100     101     1.234568E-08 -2.868235E+01 -4.460177E+00
     100     101     1.234568E-08 -2.868235E+01 -4.235988E+00
     100     101     1.234568E-08 -2.868235E+01 -4.011799E+00
     100     101     1.234568E-08 -2.868235E+01 -3.787611E+00
     100     101     1.234568E-08 -2.868235E+01 -3.563422E+00
     100     101     1.234568E-08 -2.868235E+01 -3.339233E+00
     100     101     1.234568E-08 -2.868235E+01 -3.115044E+00
     100     101     1.234568E-08 -2.868235E+01 -2.890855E+00
     100     101     1.234568E-08 -2.868235E+01 -2.666667E+00
     100     101     1.234568E-08 -2.868235E+01 -2.442478E+00
     100     101     1.234568E-08 -2.868235E+01 -2.218289E+00
     100     101     1.234568E-08 -2.868235E+01 -1.994100E+00
     100     101     1.234568E-08 -2.868235E+01 -1.769911E+00
     100     101     1.234568E-08 -2.868235E+01 -1.545723E+00
     100     101     1.234568E-08 -2.868235E+01 -1.321534E+00
     100     101     1.234568E-08 -2.868235E+01 -1.097345E+00
     100     101     1.234568E-08 -2.868235E+01 -8.731563E-01
     100     101     1.234568E-08 -2.868235E+01 -6.489675E-01
     100     101     1.234568E-08 -2.868235E+01 -4.247787E-01
     100     101     1.234568E-08 -2.868235E+01 -2.005900E-01
     100     101     1.234568E-08 -2.743529E+01 -9.840708E+00
     100     101     1.234568E-08 -2.743529E+01 -9.616519E+00
     100     101     1.234568E-08 -2.743529E+01 -9.392330E+00
     100     101     1.234568E-08 -2.743529E+01 -9.168142E+00
     100     101     1.234568E-08 -2.743529E+01 -8.943953E+00
     100     101     1.234568E-08 -2.743529E+01 -8.719764E+00
     100     101     1.234568E-08 -2.743529E+01 -8.495575E+00
     100     101     1.234568E-08 -2.743529E+01 -8.271386E+00
     100     101     1.234568E-08 -2.743529E+01 -8.047198E+00
     100     101     1.234568E-08 -2.743529E+01 -7.823009E+00
     100     101     1.234568E-08 -2.743529E+01 -7.598820E+00
     100     101     1.234568E-08 -2.743529E+01 -7.374631E+00
     100     101     1.234568E-08 -2.743529E+01 -7.150442E+00
     100     101     1.234568E-08 -2.743529E+01 -6.926254E+00
     100     101     1.234568E-08 -2.743529E+01 -6.702065E+00
     100     101     1.234568E-08 -2.743529E+01 -6.477876E+00
     100     101     1.234568E-08 -2.743529E+01 -6.253687E+00
     100     101     1.234568E-08 -2.743529E+01 -6.029499E+00
