[ T-Cross ]
    title = [t-cross] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   30.00000      # maximum value of r-mesh points
#    rdel =   1.000000      # mesh width of r-mesh points
       nr =     30          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  1.00000E+00  2.00000E+00  3.00000E+00  4.00000E+00
#           5.00000E+00  6.00000E+00  7.00000E+00  8.00000E+00  9.00000E+00
#           1.00000E+01  1.10000E+01  1.20000E+01  1.30000E+01  1.40000E+01
#           1.50000E+01  1.60000E+01  1.70000E+01  1.80000E+01  1.90000E+01
#           2.00000E+01  2.10000E+01  2.20000E+01  2.30000E+01  2.40000E+01
#           2.50000E+01  2.60000E+01  2.70000E+01  2.80000E+01  2.90000E+01
#           3.00000E+01
   z-type =    1            # z-mesh is given by the below data
       nz =      0          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
           -1.09000E+01
   e-type =    1            # e-mesh is given by the below data
       ne =      3          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
            0.00000E+00  5.00000E-07  1.00000E-02  2.00000E+01
     unit =    1            # unit is [1/cm^2/source]
     axis =    r            # axis of output
     file = r_FluxDist_SourcePlane_Neutron.dat  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  neutron  
# kf/name :  2112     
    angel = xlin ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          40 (  0)           0 (  0)          40 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1
#  ie =  1
#   e = (   0.0000E+00  -   5.0000E-07  )

x: r [cm]
y:   Flux  [1/cm^2/source]                 
p: xlin ylog afac(0.8) form(0.9)
p: xlin ylin
h: n            x            y(neutron ),hh0l   n 
#  r-lower      r-upper      neutron     r.err 
   0.0000E+00   1.0000E+00   2.9250E+08  0.0101
   1.0000E+00   2.0000E+00   2.9052E+08  0.0051
   2.0000E+00   3.0000E+00   2.9448E+08  0.0042
   3.0000E+00   4.0000E+00   2.9946E+08  0.0036
   4.0000E+00   5.0000E+00   3.0382E+08  0.0029
   5.0000E+00   6.0000E+00   3.0843E+08  0.0026
   6.0000E+00   7.0000E+00   3.1711E+08  0.0025
   7.0000E+00   8.0000E+00   3.2672E+08  0.0023
   8.0000E+00   9.0000E+00   3.3576E+08  0.0021
   9.0000E+00   1.0000E+01   3.4866E+08  0.0020
   1.0000E+01   1.1000E+01   3.6086E+08  0.0018
   1.1000E+01   1.2000E+01   3.7667E+08  0.0016
   1.2000E+01   1.3000E+01   3.9562E+08  0.0015
   1.3000E+01   1.4000E+01   4.1948E+08  0.0013
   1.4000E+01   1.5000E+01   4.2938E+08  0.0013
   1.5000E+01   1.6000E+01   4.3140E+08  0.0013
   1.6000E+01   1.7000E+01   4.3196E+08  0.0012
   1.7000E+01   1.8000E+01   4.2974E+08  0.0011
   1.8000E+01   1.9000E+01   4.2855E+08  0.0011
   1.9000E+01   2.0000E+01   4.2733E+08  0.0011
   2.0000E+01   2.1000E+01   4.2561E+08  0.0010
   2.1000E+01   2.2000E+01   4.2244E+08  0.0011
   2.2000E+01   2.3000E+01   4.1793E+08  0.0010
   2.3000E+01   2.4000E+01   4.1273E+08  0.0010
   2.4000E+01   2.5000E+01   4.0425E+08  0.0009
   2.5000E+01   2.6000E+01   3.9380E+08  0.0010
   2.6000E+01   2.7000E+01   3.7544E+08  0.0010
   2.7000E+01   2.8000E+01   3.4742E+08  0.0010
   2.8000E+01   2.9000E+01   3.0525E+08  0.0011
   2.9000E+01   3.0000E+01   2.4717E+08  0.0013

#   sum over    2.8274E+03   3.8002E+08

'no. =  1,  iz surf =  1,   ie =  1'
msuc: {\huge [t-cross] in r-z mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.24}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&  -1.0900E+01 [cm]
  emin  &=&   0.0000E+00 [MeV]
  emax  &=&   5.0000E-07 [MeV]
 tot area  &=&   2.8274E+03 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   iz surf =  1
#  ie =  2
#   e = (   5.0000E-07  -   1.0000E-02  )

x: r [cm]
y:   Flux  [1/cm^2/source]                 
p: xlin ylog afac(0.8) form(0.9)
p: xlin ylin
h: n            x            y(neutron ),hh0l   n 
#  r-lower      r-upper      neutron     r.err 
   0.0000E+00   1.0000E+00   6.4778E+09  0.0036
   1.0000E+00   2.0000E+00   6.5006E+09  0.0020
   2.0000E+00   3.0000E+00   6.4983E+09  0.0016
   3.0000E+00   4.0000E+00   6.5126E+09  0.0014
   4.0000E+00   5.0000E+00   6.5281E+09  0.0012
   5.0000E+00   6.0000E+00   6.5685E+09  0.0011
   6.0000E+00   7.0000E+00   6.6001E+09  0.0010
   7.0000E+00   8.0000E+00   6.6164E+09  0.0009
   8.0000E+00   9.0000E+00   6.6575E+09  0.0009
   9.0000E+00   1.0000E+01   6.7164E+09  0.0008
   1.0000E+01   1.1000E+01   6.7919E+09  0.0008
   1.1000E+01   1.2000E+01   6.8542E+09  0.0007
   1.2000E+01   1.3000E+01   6.9229E+09  0.0007
   1.3000E+01   1.4000E+01   6.9911E+09  0.0007
   1.4000E+01   1.5000E+01   7.0109E+09  0.0006
   1.5000E+01   1.6000E+01   7.0126E+09  0.0006
   1.6000E+01   1.7000E+01   7.0000E+09  0.0006
   1.7000E+01   1.8000E+01   6.9875E+09  0.0006
   1.8000E+01   1.9000E+01   6.9689E+09  0.0006
   1.9000E+01   2.0000E+01   6.9369E+09  0.0005
   2.0000E+01   2.1000E+01   6.9121E+09  0.0005
   2.1000E+01   2.2000E+01   6.8810E+09  0.0005
   2.2000E+01   2.3000E+01   6.8404E+09  0.0005
   2.3000E+01   2.4000E+01   6.7876E+09  0.0005
   2.4000E+01   2.5000E+01   6.7194E+09  0.0005
   2.5000E+01   2.6000E+01   6.6399E+09  0.0005
   2.6000E+01   2.7000E+01   6.5143E+09  0.0005
   2.7000E+01   2.8000E+01   6.3519E+09  0.0005
   2.8000E+01   2.9000E+01   6.1152E+09  0.0005
   2.9000E+01   3.0000E+01   5.6067E+09  0.0005

#   sum over    2.8274E+03   6.6618E+09

'no. =  2,  iz surf =  1,   ie =  2'
msuc: {\huge [t-cross] in r-z mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.24}
wt: s(0.7)
\vspace{-3}
  z surface crossing
  z     &=&  -1.0900E+01 [cm]
  emin  &=&   5.0000E-07 [MeV]
  emax  &=&   1.0000E-02 [MeV]
 tot area  &=&   2.8274E+03 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  3   iz surf =  1
#  ie =  3
#   e = (   1.0000E-02  -   2.0000E+01  )

x: r [cm]
y:   Flux  [1/cm^2/source]                 
p: xlin ylog afac(0.8) form(0.9)
p: xlin ylin
h: n            x            y(neutron ),hh0l   n 
#  r-lower      r-upper      neutron     r.err 
   0.0000E+00   1.0000E+00   2.3025E+08  0.0177
   1.0000E+00   2.0000E+00   2.3572E+08  0.0101
   2.0000E+00   3.0000E+00   2.3134E+08  0.0079
   3.0000E+00   4.0000E+00   2.3413E+08  0.0067
   4.0000E+00   5.0000E+00   2.3493E+08  0.0062
   5.0000E+00   6.0000E+00   2.3407E+08  0.0054
   6.0000E+00   7.0000E+00   2.3482E+08  0.0050
   7.0000E+00   8.0000E+00   2.3635E+08  0.0048
   8.0000E+00   9.0000E+00   2.3546E+08  0.0043
   9.0000E+00   1.0000E+01   2.3797E+08  0.0042
   1.0000E+01   1.1000E+01   2.3910E+08  0.0037
   1.1000E+01   1.2000E+01   2.4165E+08  0.0037
   1.2000E+01   1.3000E+01   2.4295E+08  0.0035
